Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
27637,United Kingdom,Potatoes,2006,415887,1220.0,22588.09,11.1
27638,United Kingdom,Wheat,2006,80361,1220.0,22588.09,10.02
27639,United Kingdom,Wheat,2006,80361,1220.0,22588.09,10.58
27640,United Kingdom,Wheat,2006,80361,1220.0,22588.09,10.58
27641,United Kingdom,Wheat,2006,80361,1220.0,22588.09,9.1
27642,United Kingdom,Wheat,2006,80361,1220.0,22588.09,11.1
27643,United Kingdom,Potatoes,2007,401926,1220.0,22331.7,10.11
27644,United Kingdom,Potatoes,2007,401926,1220.0,22331.7,10.37
27645,United Kingdom,Potatoes,2007,401926,1220.0,22331.7,10.37
27646,United Kingdom,Potatoes,2007,401926,1220.0,22331.7,8.94
27647,United Kingdom,Potatoes,2007,401926,1220.0,22331.7,10.83
27648,United Kingdom,Wheat,2007,72244,1220.0,22331.7,10.11
27649,United Kingdom,Wheat,2007,72244,1220.0,22331.7,10.37
27650,United Kingdom,Wheat,2007,72244,1220.0,22331.7,10.37
27651,United Kingdom,Wheat,2007,72244,1220.0,22331.7,8.94
27652,United Kingdom,Wheat,2007,72244,1220.0,22331.7,10.83
27653,United Kingdom,Potatoes,2008,416597,1220.0,21596.68,9.48
27654,United Kingdom,Potatoes,2008,416597,1220.0,21596.68,9.82
27655,United Kingdom,Potatoes,2008,416597,1220.0,21596.68,9.82
27656,United Kingdom,Potatoes,2008,416597,1220.0,21596.68,8.42
27657,United Kingdom,Potatoes,2008,416597,1220.0,21596.68,10.38
27658,United Kingdom,Wheat,2008,82814,1220.0,21596.68,9.48
27659,United Kingdom,Wheat,2008,82814,1220.0,21596.68,9.82
27660,United Kingdom,Wheat,2008,82814,1220.0,21596.68,9.82
27661,United Kingdom,Wheat,2008,82814,1220.0,21596.68,8.42
27662,United Kingdom,Wheat,2008,82814,1220.0,21596.68,10.38
27663,United Kingdom,Potatoes,2009,444167,1220.0,21324.22,9.59
27664,United Kingdom,Potatoes,2009,444167,1220.0,21324.22,9.9
27665,United Kingdom,Potatoes,2009,444167,1220.0,21324.22,9.9
27666,United Kingdom,Potatoes,2009,444167,1220.0,21324.22,8.64
27667,United Kingdom,Potatoes,2009,444167,1220.0,21324.22,10.52
27668,United Kingdom,Wheat,2009,79284,1220.0,21324.22,9.59
27669,United Kingdom,Wheat,2009,79284,1220.0,21324.22,9.9
27670,United Kingdom,Wheat,2009,79284,1220.0,21324.22,9.9
27671,United Kingdom,Wheat,2009,79284,1220.0,21324.22,8.64
27672,United Kingdom,Wheat,2009,79284,1220.0,21324.22,10.52
27673,United Kingdom,Potatoes,2010,438841,1220.0,16770.87,8.4
27674,United Kingdom,Potatoes,2010,438841,1220.0,16770.87,8.8
27675,United Kingdom,Potatoes,2010,438841,1220.0,16770.87,8.8
27676,United Kingdom,Potatoes,2010,438841,1220.0,16770.87,7.43
27677,United Kingdom,Potatoes,2010,438841,1220.0,16770.87,9.38
27678,United Kingdom,Wheat,2010,76746,1220.0,16770.87,8.4
27679,United Kingdom,Wheat,2010,76746,1220.0,16770.87,8.8
27680,United Kingdom,Wheat,2010,76746,1220.0,16770.87,8.8
27681,United Kingdom,Wheat,2010,76746,1220.0,16770.87,7.43
27682,United Kingdom,Wheat,2010,76746,1220.0,16770.87,9.38
27683,United Kingdom,Potatoes,2011,432192,1220.0,16401.66,9.82
27684,United Kingdom,Potatoes,2011,432192,1220.0,16401.66,10.63
27685,United Kingdom,Potatoes,2011,432192,1220.0,16401.66,10.63
27686,United Kingdom,Potatoes,2011,432192,1220.0,16401.66,8.95
27687,United Kingdom,Potatoes,2011,432192,1220.0,16401.66,11.19
27688,United Kingdom,Wheat,2011,77471,1220.0,16401.66,9.82
27689,United Kingdom,Wheat,2011,77471,1220.0,16401.66,10.63
27690,United Kingdom,Wheat,2011,77471,1220.0,16401.66,10.63
27691,United Kingdom,Wheat,2011,77471,1220.0,16401.66,8.95
27692,United Kingdom,Wheat,2011,77471,1220.0,16401.66,11.19
27693,United Kingdom,Potatoes,2012,305570,1220.0,17718.64,9.27
27694,United Kingdom,Potatoes,2012,305570,1220.0,17718.64,9.55
27695,United Kingdom,Potatoes,2012,305570,1220.0,17718.64,9.55
27696,United Kingdom,Potatoes,2012,305570,1220.0,17718.64,8.08
27697,United Kingdom,Potatoes,2012,305570,1220.0,17718.64,10.0
27698,United Kingdom,Wheat,2012,66571,1220.0,17718.64,9.27
27699,United Kingdom,Wheat,2012,66571,1220.0,17718.64,9.55
27700,United Kingdom,Wheat,2012,66571,1220.0,17718.64,9.55
27701,United Kingdom,Wheat,2012,66571,1220.0,17718.64,8.08
27702,United Kingdom,Wheat,2012,66571,1220.0,17718.64,10.0
27703,United Kingdom,Potatoes,2013,408993,1220.0,17673.46,8.76
27704,United Kingdom,Potatoes,2013,408993,1220.0,17673.46,9.57
27705,United Kingdom,Potatoes,2013,408993,1220.0,17673.46,9.57
27706,United Kingdom,Potatoes,2013,408993,1220.0,17673.46,8.39
27707,United Kingdom,Potatoes,2013,408993,1220.0,17673.46,9.91
27708,United Kingdom,Wheat,2013,73838,1220.0,17673.46,8.76
27709,United Kingdom,Wheat,2013,73838,1220.0,17673.46,9.57
27710,United Kingdom,Wheat,2013,73838,1220.0,17673.46,9.57
27711,United Kingdom,Wheat,2013,73838,1220.0,17673.46,8.39
27712,United Kingdom,Wheat,2013,73838,1220.0,17673.46,9.91
