Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes,Annual_Temp_C,Annual_Rainfall_mm,Annual_Humidity_Percent,Annual_Sunshine_hours,Annual_Frost_days,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha
2013,Oats,176541,5.5,963563,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Oats,137233,6.0,819985,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Oats,131127,6.1,798573,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Oats,140896,5.8,815802,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Oats,161050,5.4,874778,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Oats,171171,5.0,850301,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Oats,181518,5.9,1075588,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Oats,210009,4.9,1030989,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Oats,199584,5.6,1123064,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Oats,175535,5.7,1007098,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Oats,166539,5.0,829988,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Oats,182046,5.4,985510,9.79,1273.0,82.3,1280.7,36.1,121,17,22
2004,Oilseed_Rape,553521,2.9,1606834,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Oilseed_Rape,594219,3.2,1897723,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Oilseed_Rape,575205,3.3,1890093,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Oilseed_Rape,681410,3.1,2108121,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Oilseed_Rape,598154,3.3,1973028,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Oilseed_Rape,569921,3.4,1912196,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Oilseed_Rape,641562,3.5,2230148,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Oilseed_Rape,704559,3.9,2758302,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Oilseed_Rape,755717,3.4,2556643,8.74,1329.6,82.8,1330.7,54.9,144,28,37
2013,Oilseed_Rape,715218,3.0,2128142,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Oilseed_Rape,674580,3.6,2459576,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Oilseed_Rape,652164,3.9,2542454,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Oilseed_Rape,579170,3.1,1774712,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Oilseed_Rape,562399,3.9,2166644,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Oilseed_Rape,583271,3.4,2012144,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Oilseed_Rape,529698,3.3,1751828,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Oilseed_Rape,379651,2.7,1037719,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Oilseed_Rape,307482,3.2,980762,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Oilseed_Rape,364801,3.7,1361375,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Oilseed_Rape,391158,3.1,1216108,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Oilseed_Rape,293231,2.8,834520,9.79,1273.0,82.3,1280.7,36.1,121,17,22
2004,Sugar_Beet,154000,58.7,9042000,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Sugar_Beet,148000,58.6,8687000,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Sugar_Beet,130000,56.9,7400000,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Sugar_Beet,125000,53.9,6733000,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Sugar_Beet,120000,63.9,7641000,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Sugar_Beet,114000,74.0,8457000,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Sugar_Beet,122000,53.6,6527000,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Sugar_Beet,113000,75.5,8504000,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Sugar_Beet,117000,62.1,7291000,8.74,1329.6,82.8,1330.7,54.9,144,28,37
2013,Sugar_Beet,121000,69.9,8432000,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Sugar_Beet,117000,79.8,9310000,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Sugar_Beet,84000,74.1,6218000,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Sugar_Beet,80000,71.2,5687000,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Sugar_Beet,107000,83.4,8919000,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Sugar_Beet,110000,69.1,7600000,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Sugar_Beet,100000,77.7,7763000,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Sugar_Beet,104000,56.6,5894000,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Sugar_Beet,91000,81.1,7364000,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Sugar_Beet,87000,63.9,5574000,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Sugar_Beet,99000,78.2,7746000,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Sugar_Beet,102000,76.3,7817000,9.79,1273.0,82.3,1280.7,36.1,121,17,22
2004,Potato,148000,42.0,6246000,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Potato,137000,44.0,5979000,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Potato,140000,41.0,5727000,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Potato,140000,40.0,5564000,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Potato,144000,43.0,6132000,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Potato,144000,44.0,6396000,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Potato,138000,44.0,6056000,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Potato,146000,43.0,6310000,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Potato,149000,31.0,4658000,8.74,1329.6,82.8,1330.7,54.9,144,28,37
2013,Potato,139000,42.0,5902000,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Potato,141000,42.0,5911000,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Potato,129000,44.0,5676000,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Potato,139000,39.0,5421000,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Potato,145000,43.0,6235000,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Potato,140000,36.0,5040000,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Potato,144000,37.0,5328000,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Potato,142400,39.0,5553600,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Potato,137000,37.0,5069000,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Potato,127000,40.0,5080000,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Potato,115000,41.0,4715000,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Potato,118000,46.0,5428000,9.79,1273.0,82.3,1280.7,36.1,121,17,22
