Year,Region,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes
2011,Northern Ireland,Barley,24049,5.7,137079.30000000002
2012,Northern Ireland,Barley,25533,5.0,127665.0
2013,Northern Ireland,Barley,25757,5.4,139087.80000000002
2014,Northern Ireland,Barley,23555,5.8,136619.0
2015,Northern Ireland,Barley,22708,6.2,140789.6
2016,Northern Ireland,Barley,22336,5.6,125081.59999999999
2017,Northern Ireland,Barley,21145,5.4,114183.00000000001
2018,Northern Ireland,Barley,20703,5.7,118007.1
2019,Northern Ireland,Barley,19687,6.4,125996.8
2020,Northern Ireland,Barley,20104,5.5,110572.0
2021,Northern Ireland,Barley,20843,6.6,137563.8
2022,Northern Ireland,Barley,21957,6.2,136133.4
2023,Northern Ireland,Barley,21453,5.2,111555.6
2024,Northern Ireland,Barley,20438,6.1,124671.79999999999
2004,England,Oats,79961,6.0,479766.0
2005,England,Oats,65535,6.0,393210.0
2006,England,Oats,93049,6.0,558294.0
2007,England,Oats,102461,5.4,553289.4
2008,England,Oats,106576,5.9,628798.4
2009,England,Oats,100618,5.8,583584.4
2010,England,Oats,94737,5.4,511579.80000000005
2011,England,Oats,80460,5.6,450576.0
2012,England,Oats,92142,5.3,488352.6
2013,England,Oats,138398,5.4,747349.2000000001
2014,England,Oats,104702,6.0,628212.0
2015,England,Oats,98224,6.1,599166.4
2016,England,Oats,102404,5.6,573462.3999999999
2017,England,Oats,120904,5.4,652881.6000000001
2018,England,Oats,132229,4.8,634699.2
2019,England,Oats,142850,5.9,842815.0
2020,England,Oats,169362,4.6,779065.2
2021,England,Oats,158983,5.6,890304.7999999999
2022,England,Oats,139924,5.7,797566.8
2023,England,Oats,134063,4.8,643502.4
2024,England,Oats,148477,5.2,772080.4
2004,Wales,Oats,3595,4.7,16896.5
2005,Wales,Oats,2930,5.1,14942.999999999998
2006,Wales,Oats,3901,5.5,21455.5
2007,Wales,Oats,4018,5.1,20491.8
2008,Wales,Oats,4308,5.3,22832.399999999998
2009,Wales,Oats,4136,5.6,23161.6
2010,Wales,Oats,4392,5.3,23277.6
2011,Wales,Oats,4334,5.7,24703.8
2012,Wales,Oats,4230,5.1,21573.0
2013,Wales,Oats,4442,5.2,23098.4
2014,Wales,Oats,5395,5.5,29672.5
2015,Wales,Oats,5212,6.3,32835.6
2016,Wales,Oats,5025,5.8,29145.0
2017,Wales,Oats,5269,4.9,25818.100000000002
2018,Wales,Oats,4828,5.1,24622.8
2019,Wales,Oats,4880,5.9,28792.0
2020,Wales,Oats,4808,4.0,19232.0
2021,Wales,Oats,4989,5.4,26940.600000000002
2022,Wales,Oats,4961,5.3,26293.3
2023,Wales,Oats,4373,4.2,18366.600000000002
2024,Wales,Oats,4190,4.8,20112.0
2004,Scotland,Oats,21831,5.2,113521.2
2005,Scotland,Oats,19955,5.7,113743.5
2006,Scotland,Oats,22682,6.0,136092.0
2007,Scotland,Oats,20868,5.9,123121.20000000001
2008,Scotland,Oats,21720,5.5,119460.0
2009,Scotland,Oats,22299,5.8,129334.2
2010,Scotland,Oats,23000,5.9,135700.0
2011,Scotland,Oats,21715,5.6,121603.99999999999
2012,Scotland,Oats,23672,4.6,108891.2
2013,Scotland,Oats,31728,5.9,187195.2
2014,Scotland,Oats,25050,6.1,152805.0
2015,Scotland,Oats,25615,5.9,151128.5
2016,Scotland,Oats,31210,6.4,199744.0
2017,Scotland,Oats,32625,5.7,185962.5
2018,Scotland,Oats,32101,5.5,176555.5
2019,Scotland,Oats,31920,5.9,188328.0
2020,Scotland,Oats,33984,6.6,224294.4
2021,Scotland,Oats,33739,5.6,188938.4
2022,Scotland,Oats,28677,6.0,172062.0
2023,Scotland,Oats,26182,6.0,157092.0
2024,Scotland,Oats,27590,6.6,182094.0
2004,Northern Ireland,Oats,2459,5.7,14016.300000000001
2005,Northern Ireland,Oats,1946,5.0,9730.0
2006,Northern Ireland,Oats,1865,5.9,11003.5
2007,Northern Ireland,Oats,2036,5.2,10587.2
2008,Northern Ireland,Oats,2418,4.5,10881.0
2009,Northern Ireland,Oats,2054,5.4,11091.6
2010,Northern Ireland,Oats,2331,5.8,13519.8
2011,Northern Ireland,Oats,2095,6.0,12570.0
2012,Northern Ireland,Oats,1879,4.8,9019.199999999999
2013,Northern Ireland,Oats,1973,5.0,9865.0
2014,Northern Ireland,Oats,2086,5.6,11681.599999999999
2015,Northern Ireland,Oats,2076,5.9,12248.400000000001
2016,Northern Ireland,Oats,2257,5.4,12187.800000000001
2017,Northern Ireland,Oats,2252,5.6,12611.199999999999
2018,Northern Ireland,Oats,2013,5.0,10065.0
2019,Northern Ireland,Oats,1868,5.9,11021.2
2020,Northern Ireland,Oats,1855,5.4,10017.0
2021,Northern Ireland,Oats,1874,5.8,10869.199999999999
2022,Northern Ireland,Oats,1973,5.5,10851.5
2023,Northern Ireland,Oats,1922,5.6,10763.199999999999
2024,Northern Ireland,Oats,1788,6.0,10728.0
2004,England,Oilseed_Rape,505870,2.9,1467023.0
2005,England,Oilseed_Rape,548883,3.3,1811313.9
2006,England,Oilseed_Rape,531364,3.3,1753501.2
2007,England,Oilseed_Rape,634920,3.1,1968252.0
2008,England,Oilseed_Rape,560940,3.3,1851102.0
2009,England,Oilseed_Rape,536261,3.3,1769661.2999999998
2010,England,Oilseed_Rape,599675,3.5,2098862.5
2011,England,Oilseed_Rape,660379,3.9,2575478.1
2012,England,Oilseed_Rape,712671,3.4,2423081.4
2013,England,Oilseed_Rape,676414,3.0,2029242.0
2014,England,Oilseed_Rape,631580,3.6,2273688.0
2015,England,Oilseed_Rape,610947,3.9,2382693.3
2016,England,Oilseed_Rape,542807,3.1,1682701.7
2017,England,Oilseed_Rape,523124,3.8,1987871.2
2018,England,Oilseed_Rape,545068,3.4,1853231.2
2019,England,Oilseed_Rape,492077,3.3,1623854.0999999999
2020,England,Oilseed_Rape,344913,2.6,896773.8
2021,England,Oilseed_Rape,268410,3.1,832071.0
2022,England,Oilseed_Rape,322786,3.7,1194308.2
2023,England,Oilseed_Rape,249758,3.0,749274.0
2024,England,Oilseed_Rape,203588,2.7,549687.6000000001
2004,Wales,Oilseed_Rape,3388,2.9,9825.199999999999
2005,Wales,Oilseed_Rape,2959,3.3,9764.699999999999
2006,Wales,Oilseed_Rape,2614,3.3,8626.199999999999
2007,Wales,Oilseed_Rape,2820,3.1,8742.0
2008,Wales,Oilseed_Rape,3152,3.3,10401.599999999999
2009,Wales,Oilseed_Rape,4013,3.3,13242.9
2010,Wales,Oilseed_Rape,5439,3.5,19036.5
2011,Wales,Oilseed_Rape,5215,3.9,20338.5
2012,Wales,Oilseed_Rape,5628,3.4,19135.2
2013,Wales,Oilseed_Rape,4679,3.0,14037.0
2014,Wales,Oilseed_Rape,5433,3.6,19558.8
2015,Wales,Oilseed_Rape,4812,3.9,18766.8
2016,Wales,Oilseed_Rape,5080,3.1,15748.0
2017,Wales,Oilseed_Rape,4348,3.9,16957.2
2018,Wales,Oilseed_Rape,4707,3.4,16003.8
2019,Wales,Oilseed_Rape,4996,3.4,16986.399999999998
2020,Wales,Oilseed_Rape,3023,2.8,8464.4
2021,Wales,Oilseed_Rape,4841,3.2,15491.2
2022,Wales,Oilseed_Rape,5031,3.8,19117.8
2023,Wales,Oilseed_Rape,7194,3.2,23020.800000000003
2024,Wales,Oilseed_Rape,6005,2.7,16213.500000000002
2004,Scotland,Oilseed_Rape,39316,3.3,129742.79999999999
2005,Scotland,Oilseed_Rape,35591,3.5,124568.5
2006,Scotland,Oilseed_Rape,33742,3.6,121471.2
2007,Scotland,Oilseed_Rape,36334,3.8,138069.19999999998
2008,Scotland,Oilseed_Rape,33623,3.4,114318.2
2009,Scotland,Oilseed_Rape,29043,3.5,101650.5
2010,Scotland,Oilseed_Rape,36002,3.4,122406.8
2011,Scotland,Oilseed_Rape,38388,3.9,149713.19999999998
2012,Scotland,Oilseed_Rape,36611,2.9,106171.9
2013,Scotland,Oilseed_Rape,33653,3.3,111054.9
2014,Scotland,Oilseed_Rape,37073,4.0,148292.0
2015,Scotland,Oilseed_Rape,35797,4.1,146767.69999999998
2016,Scotland,Oilseed_Rape,30731,3.3,101412.29999999999
2017,Scotland,Oilseed_Rape,34188,4.2,143589.6
2018,Scotland,Oilseed_Rape,32738,3.9,127678.2
2019,Scotland,Oilseed_Rape,31855,3.9,124234.5
2020,Scotland,Oilseed_Rape,30910,3.9,120549.0
2021,Scotland,Oilseed_Rape,33381,3.8,126847.79999999999
2022,Scotland,Oilseed_Rape,36152,4.2,151838.4
2023,Scotland,Oilseed_Rape,40741,4.1,167038.09999999998
2024,Scotland,Oilseed_Rape,36668,3.6,132004.80000000002
2004,Northern Ireland,Oilseed_Rape,255,2.9,739.5
2005,Northern Ireland,Oilseed_Rape,345,3.2,1104.0
2006,Northern Ireland,Oilseed_Rape,471,3.3,1554.3
2007,Northern Ireland,Oilseed_Rape,398,3.1,1233.8
2008,Northern Ireland,Oilseed_Rape,439,3.3,1448.6999999999998
2009,Northern Ireland,Oilseed_Rape,604,3.4,2053.6
2010,Northern Ireland,Oilseed_Rape,446,3.5,1561.0
2011,Northern Ireland,Oilseed_Rape,577,3.9,2250.2999999999997
2012,Northern Ireland,Oilseed_Rape,807,3.4,2743.7999999999997
2013,Northern Ireland,Oilseed_Rape,473,3.0,1419.0
2014,Northern Ireland,Oilseed_Rape,494,3.6,1778.4
2015,Northern Ireland,Oilseed_Rape,608,3.9,2371.2
2016,Northern Ireland,Oilseed_Rape,552,3.1,1711.2
2017,Northern Ireland,Oilseed_Rape,738,3.9,2878.2
2018,Northern Ireland,Oilseed_Rape,758,3.5,2653.0
2019,Northern Ireland,Oilseed_Rape,770,3.3,2541.0
2020,Northern Ireland,Oilseed_Rape,805,2.9,2334.5
2021,Northern Ireland,Oilseed_Rape,850,3.2,2720.0
2022,Northern Ireland,Oilseed_Rape,833,3.2,2665.6000000000004
2023,Northern Ireland,Oilseed_Rape,852,3.8,3237.6
2024,Northern Ireland,Oilseed_Rape,800,2.1,1680.0
